client_code,name_x,product,status_x,city_x,date,category,amount,currency,name_y,status_y,age,city_y,avg_monthly_balance_KZT
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-01 08:10:05,Кино,3338.23,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-01 12:10:01,Продукты питания,27765.82,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-01 19:00:55,Кафе и рестораны,21966.75,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-03 09:15:48,Такси,5217.89,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-03 12:10:20,Продукты питания,12925.04,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-03 17:25:14,Косметика и Парфюмерия,40156.34,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-04 12:10:25,Продукты питания,9229.26,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-04 17:25:02,Косметика и Парфюмерия,22147.32,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-05 09:15:30,Такси,3157.62,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-05 10:20:48,Кафе и рестораны,3497.22,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-05 17:25:50,Косметика и Парфюмерия,14108.59,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-05 21:00:21,Такси,3027.25,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-06 09:15:12,Такси,4903.92,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-06 10:00:41,Кино,2448.32,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-06 12:10:34,Продукты питания,8930.3,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-06 15:00:16,Такси,3084.82,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-06 17:30:34,Едим дома,8606.6,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-06 19:00:07,Кафе и рестораны,12288.9,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-07 08:40:51,Кафе и рестораны,4178.3,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-07 11:20:42,Кино,5606.8,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-07 19:00:04,Кафе и рестораны,9701.75,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-08 08:50:53,Играем дома,4275.94,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-08 12:10:41,Продукты питания,27668.39,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-08 15:20:47,Кино,4734.07,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-09 08:30:00,Едим дома,5315.3,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-09 09:15:28,Такси,3918.01,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-09 11:10:41,Играем дома,4668.49,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-09 19:00:09,Кафе и рестораны,9835.66,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-10 18:30:50,АЗС,23676.28,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-10 21:20:13,Едим дома,5377.69,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-10 21:40:47,Такси,4252.51,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-11 08:30:40,Кино,4068.32,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-11 09:40:44,Кафе и рестораны,5889.77,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-11 11:40:52,Кафе и рестораны,4480.9,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-11 12:10:51,Продукты питания,12667.96,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-11 18:10:02,Кафе и рестораны,11408.27,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-11 18:40:48,Такси,3953.83,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-11 19:00:54,Кафе и рестораны,7169.79,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-11 19:20:32,Играем дома,6640.42,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-13 12:10:04,Продукты питания,16781.9,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-13 14:20:00,Играем дома,5800.03,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-13 15:10:02,Смотрим дома,8488.72,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-13 19:00:51,Кафе и рестораны,3720.42,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-13 21:10:55,Кафе и рестораны,7820.74,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-14 12:10:38,Продукты питания,16068.35,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-14 14:00:34,Едим дома,7122.84,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-14 16:40:55,Кафе и рестораны,4965.4,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-15 09:15:42,Такси,6621.23,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-15 11:30:55,Смотрим дома,7314.32,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-15 12:10:51,Продукты питания,9340.4,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-15 17:25:40,Косметика и Парфюмерия,23396.27,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-16 10:30:43,Кафе и рестораны,6169.75,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
10,Карина,Премиальная карта,зп,Усть-Каменогорск,2025-06-16 12:10:29,Продукты питания,20081.47,KZT,Карина,Зарплатный клиент,38,Усть-Каменогорск,1277325
